arm_id,regra_derivada,position_id,repetition,planned_calls,executed_attempts,valid_decisions,failed_units,retry_attempts,cost_status,cost_total_usd,cost_per_binary_decision_usd,cost_mean_usd,cost_median_usd,cost_per_call_usd,latency_min_ms,latency_median_ms,latency_p95_ms,latency_max_ms,input_tokens,output_tokens,total_tokens,cache_tokens,reasoning_tokens,projected_cost_100_usd,projected_cost_1000_usd,projected_cost_10000_usd,paired_cost_reference,paired_cost_difference_total_usd,custo_projetado_C1_mais_C2,latencia_projetada_sequencial,latencia_projetada_paralela
N-INT,D,local-qwen2-5-coder-7b,R1,30,30,28,0,0,accounted_by_budget_reservation,0.000000,0.000000,0.000000,0.000000,0.000000,10560,11101,12942,13128,NA,NA,NA,NA_not_produced_by_pinned_schema,NA_not_produced_by_pinned_schema,0.000000,0.000000,0.000000,D-C1,0.000000,NA,NA,NA
N-INT,D,local-qwen2-5-coder-7b,R2,30,30,28,0,0,accounted_by_budget_reservation,0.000000,0.000000,0.000000,0.000000,0.000000,10471,11580,13422,17214,NA,NA,NA,NA_not_produced_by_pinned_schema,NA_not_produced_by_pinned_schema,0.000000,0.000000,0.000000,D-C1,0.000000,NA,NA,NA
N-INT,D,local-qwen3-8b,R1,30,30,30,0,0,accounted_by_budget_reservation,0.000000,0.000000,0.000000,0.000000,0.000000,12891,14195,18784,21152,NA,NA,NA,NA_not_produced_by_pinned_schema,NA_not_produced_by_pinned_schema,0.000000,0.000000,0.000000,D-C1,0.000000,NA,NA,NA
N-INT,D,local-qwen3-8b,R2,30,30,30,0,0,accounted_by_budget_reservation,0.000000,0.000000,0.000000,0.000000,0.000000,13389,14680,17805,21485,NA,NA,NA,NA_not_produced_by_pinned_schema,NA_not_produced_by_pinned_schema,0.000000,0.000000,0.000000,D-C1,0.000000,NA,NA,NA
N-INT,D,remote-gpt-5-6-luna-openai,R1,30,30,30,0,0,complete,0.014621,0.000487,0.000487,0.000446,0.000487,1483,2170,3250,6738,43369,3195,46564,NA_not_produced_by_pinned_schema,NA_not_produced_by_pinned_schema,0.048736,0.487358,4.873583,D-C1,0.007846,NA,NA,NA
N-INT,D,remote-gpt-5-6-luna-openai,R2,30,30,30,0,0,complete,0.012044,0.000401,0.000401,0.000428,0.000401,1486,2397,3699,5070,43369,3377,46746,NA_not_produced_by_pinned_schema,NA_not_produced_by_pinned_schema,0.040147,0.401465,4.014653,D-C1,0.005402,NA,NA,NA
N-INT,D,remote-gpt-oss-20b-groq,R1,30,30,30,0,0,complete,0.003935,0.000131,0.000131,0.000117,0.000131,420,614,1518,1635,46219,2779,48998,NA_not_produced_by_pinned_schema,NA_not_produced_by_pinned_schema,0.013118,0.131178,1.311775,D-C1,-0.014198,NA,NA,NA
N-INT,D,remote-gpt-oss-20b-groq,R2,30,30,30,0,0,complete,0.003859,0.000129,0.000129,0.000115,0.000129,378,682,2665,2959,46219,2651,48870,NA_not_produced_by_pinned_schema,NA_not_produced_by_pinned_schema,0.012862,0.128618,1.286175,D-C1,-0.030339,NA,NA,NA
N-INT,D,remote-qwen3-8b-alibaba,R1,30,30,30,0,0,complete,0.005925,0.000197,0.000197,0.000178,0.000197,1737,2091,3375,10236,44398,1605,46003,NA_not_produced_by_pinned_schema,NA_not_produced_by_pinned_schema,0.019749,0.197495,1.974947,D-C1,0.002830,NA,NA,NA
N-INT,D,remote-qwen3-8b-alibaba,R2,30,32,30,0,2,accounted_by_budget_reservation,0.037567,0.001252,0.001174,0.000181,0.001174,523,2047,2955,3208,NA,NA,NA,NA_not_produced_by_pinned_schema,NA_not_produced_by_pinned_schema,0.125222,1.252222,12.522219,D-C1,-0.012987,NA,NA,NA
N-INT,OR_C1_C2,local-qwen2-5-coder-7b,R1,0,0,NA,NA,0,NA_derived_rule_not_a_call,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000000,20965,10837
N-INT,OR_C1_C2,local-qwen2-5-coder-7b,R2,0,0,NA,NA,0,NA_derived_rule_not_a_call,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000000,21556,11119
N-INT,OR_C1_C2,local-qwen3-8b,R1,0,0,NA,NA,0,NA_derived_rule_not_a_call,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000000,26968,13775
N-INT,OR_C1_C2,local-qwen3-8b,R2,0,0,NA,NA,0,NA_derived_rule_not_a_call,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000000,27633,14232
N-INT,OR_C1_C2,remote-gpt-5-6-luna-openai,R1,0,0,NA,NA,0,NA_derived_rule_not_a_call,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.019357,4144,2237
N-INT,OR_C1_C2,remote-gpt-5-6-luna-openai,R2,0,0,NA,NA,0,NA_derived_rule_not_a_call,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.017331,4069,2209
N-INT,OR_C1_C2,remote-gpt-oss-20b-groq,R1,0,0,NA,NA,0,NA_derived_rule_not_a_call,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.021650,1126,613
N-INT,OR_C1_C2,remote-gpt-oss-20b-groq,R2,0,0,NA,NA,0,NA_derived_rule_not_a_call,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.085873,1169,629
N-INT,OR_C1_C2,remote-qwen3-8b-alibaba,R1,0,0,NA,NA,0,NA_derived_rule_not_a_call,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008257,4144,2212
N-INT,OR_C1_C2,remote-qwen3-8b-alibaba,R2,0,0,NA,NA,0,NA_derived_rule_not_a_call,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.071534,3899,1986
